date,city,substance,units,items
202101,Manchester,Colecalciferol,3200,57.0
202101,Manchester,Colecalciferol,400,2556.0
202101,Manchester,Colecalciferol,4000,18.0
202101,Manchester,Colecalciferol,40000,22.0
202101,Manchester,Colecalciferol,440,15.0
202101,Manchester,Colecalciferol,5000,8.0
202101,Manchester,Colecalciferol,50000,40.0
202101,Manchester,Colecalciferol,5600,6.0
202101,Manchester,Colecalciferol,600,4.0
202101,Manchester,Colecalciferol,800,1617.0
202101,Manchester,Colecalciferol,880,425.0
202101,Manchester,Colecalciferol,unknown,5378.0
202101,Middlesbrough,Colecalciferol,1000,34.0
202101,Middlesbrough,Colecalciferol,10000,2.0
202101,Middlesbrough,Colecalciferol,200,70.0
202101,Middlesbrough,Colecalciferol,2000,4.0
202101,Middlesbrough,Colecalciferol,20000,17.0
202101,Middlesbrough,Colecalciferol,3200,2.0
202101,Middlesbrough,Colecalciferol,400,167.0
202101,Middlesbrough,Colecalciferol,4000,3.0
202101,Middlesbrough,Colecalciferol,440,1.0
202101,Middlesbrough,Colecalciferol,800,264.0
202101,Middlesbrough,Colecalciferol,880,2.0
202101,Middlesbrough,Colecalciferol,unknown,156.0
202101,Newcastle upon Tyne,Colecalciferol,1000,25.0
202101,Newcastle upon Tyne,Colecalciferol,10000,1.0
202101,Newcastle upon Tyne,Colecalciferol,200,215.0
202101,Newcastle upon Tyne,Colecalciferol,2000,2.0
202101,Newcastle upon Tyne,Colecalciferol,20000,120.0
202101,Newcastle upon Tyne,Colecalciferol,2400,2.0
202101,Newcastle upon Tyne,Colecalciferol,25000,5.0
202101,Newcastle upon Tyne,Colecalciferol,2740,18.0
202101,Newcastle upon Tyne,Colecalciferol,3000,1.0
202101,Newcastle upon Tyne,Colecalciferol,400,1646.0
202101,Newcastle upon Tyne,Colecalciferol,4000,1.0
202101,Newcastle upon Tyne,Colecalciferol,440,4.0
202101,Newcastle upon Tyne,Colecalciferol,50000,1.0
202101,Newcastle upon Tyne,Colecalciferol,5600,1.0
202101,Newcastle upon Tyne,Colecalciferol,800,3474.0
202101,Newcastle upon Tyne,Colecalciferol,880,12.0
202101,Newcastle upon Tyne,Colecalciferol,unknown,745.0
202101,Nottingham,Colecalciferol,1000,1614.0
202101,Nottingham,Colecalciferol,10000,6.0
202101,Nottingham,Colecalciferol,200,667.0
202101,Nottingham,Colecalciferol,2000,5.0
202101,Nottingham,Colecalciferol,20000,111.0
202101,Nottingham,Colecalciferol,2200,3.0
202101,Nottingham,Colecalciferol,2400,2.0
202101,Nottingham,Colecalciferol,2500,1.0
202101,Nottingham,Colecalciferol,25000,97.0
202101,Nottingham,Colecalciferol,2740,20.0
202101,Nottingham,Colecalciferol,3000,1.0
202101,Nottingham,Colecalciferol,3200,13.0
202101,Nottingham,Colecalciferol,400,733.0
202101,Nottingham,Colecalciferol,4000,3.0
202101,Nottingham,Colecalciferol,440,3.0
202101,Nottingham,Colecalciferol,5000,1.0
202101,Nottingham,Colecalciferol,50000,70.0
202101,Nottingham,Colecalciferol,5600,2.0
202101,Nottingham,Colecalciferol,800,1956.0
202101,Nottingham,Colecalciferol,880,11.0
202101,Nottingham,Colecalciferol,unknown,1167.0
202101,Peterborough,Colecalciferol,200,11.0
202101,Peterborough,Colecalciferol,20000,1.0
202101,Peterborough,Colecalciferol,3200,2.0
202101,Peterborough,Colecalciferol,400,73.0
202101,Peterborough,Colecalciferol,50000,1.0
202101,Peterborough,Colecalciferol,800,9.0
202101,Peterborough,Colecalciferol,880,14.0
202101,Peterborough,Colecalciferol,unknown,25.0
202101,Plymouth,Colecalciferol,1000,41.0
202101,Plymouth,Colecalciferol,10000,1.0
202101,Plymouth,Colecalciferol,200,34.0
202101,Plymouth,Colecalciferol,2000,4.0
202101,Plymouth,Colecalciferol,25000,7.0
202101,Plymouth,Colecalciferol,400,72.0
202101,Plymouth,Colecalciferol,440,1.0
202101,Plymouth,Colecalciferol,800,22.0
202101,Plymouth,Colecalciferol,880,19.0
202101,Plymouth,Colecalciferol,unknown,76.0
202101,Sunderland,Colecalciferol,1000,38.0
202101,Sunderland,Colecalciferol,10000,1.0
202101,Sunderland,Colecalciferol,200,106.0
202101,Sunderland,Colecalciferol,20000,24.0
202101,Sunderland,Colecalciferol,2740,2.0
202101,Sunderland,Colecalciferol,400,60.0
202101,Sunderland,Colecalciferol,440,1.0
202101,Sunderland,Colecalciferol,800,323.0
202101,Sunderland,Colecalciferol,880,16.0
202101,Sunderland,Colecalciferol,unknown,491.0
202101,York,Colecalciferol,1000,211.0
202101,York,Colecalciferol,10000,6.0
202101,York,Colecalciferol,200,424.0
202101,York,Colecalciferol,2000,2.0
202101,York,Colecalciferol,20000,8.0
202101,York,Colecalciferol,2400,1.0
202101,York,Colecalciferol,25000,35.0
202101,York,Colecalciferol,3000,4.0
202101,York,Colecalciferol,3200,2.0
202101,York,Colecalciferol,400,482.0
202101,York,Colecalciferol,4000,3.0
202101,York,Colecalciferol,440,3.0
202101,York,Colecalciferol,5000,1.0
202101,York,Colecalciferol,50000,18.0
202101,York,Colecalciferol,5600,1.0
202101,York,Colecalciferol,800,653.0
202101,York,Colecalciferol,880,40.0
202101,York,Colecalciferol,unknown,852.0
202102,Birmingham,Colecalciferol,1000,471.0
202102,Birmingham,Colecalciferol,10000,22.0
202102,Birmingham,Colecalciferol,200,2220.0
202102,Birmingham,Colecalciferol,2000,39.0
202102,Birmingham,Colecalciferol,20000,436.0
202102,Birmingham,Colecalciferol,2200,4.0
202102,Birmingham,Colecalciferol,2400,26.0
202102,Birmingham,Colecalciferol,2500,6.0
202102,Birmingham,Colecalciferol,25000,406.0
202102,Birmingham,Colecalciferol,2740,6.0
202102,Birmingham,Colecalciferol,3000,9.0
