city,2021,2022,2023,2024,2025
Birmingham,34,34,33,33,32.7
Brighton,38,38,37,37,37.1
Bristol,34,33,33,33,32.5
Canterbury,41,41,41,41,41.4
Exeter,36,35,35,35,34.5
Leeds,36,36,36,36,36.0
London,35,35,35,35,35.0
Manchester,31,30,30,30,29.5
Middlesbrough,37,36,36,36,35.5
Newcastle upon Tyne,34,34,33,33,32.7
Nottingham,31,31,31,31,31.0
Peterborough,36,36,36,36,36.0
Plymouth,39,39,39,39,39.0
Sunderland,43,42,42,41,40.7
York,39,39,39,38,38.2
