date,region,chemical_substance,items,net_cost ,actual_cost
2021-01,EAST OF ENGLAND,Flupentixol hydrochloride,215.0,1397.66,1322.50303
2021-01,EAST OF ENGLAND,Flupentixol decanoate,358.0,4468.41,4172.63479
2021-01,EAST OF ENGLAND,Amitriptyline hydrochloride,159088.0,332587.2,312997.23096
2021-01,EAST OF ENGLAND,Clomipramine hydrochloride,2866.0,22525.39,21065.98602
2021-01,EAST OF ENGLAND,Dosulepin hydrochloride,5124.0,64246.51,59931.57947
2021-01,EAST OF ENGLAND,Doxepin,207.0,39800.42,37050.30565
2021-01,EAST OF ENGLAND,Imipramine hydrochloride,1319.0,23513.34,21916.70396
2021-01,EAST OF ENGLAND,Lofepramine hydrochloride,1358.0,27759.6,25927.75267
2021-01,EAST OF ENGLAND,Nortriptyline,7724.0,35603.14,33814.59861
2021-01,EAST OF ENGLAND,Trazodone hydrochloride,7402.0,34867.46,33043.51773
2021-01,EAST OF ENGLAND,Trimipramine maleate,226.0,86841.69,80834.91348
2021-01,EAST OF ENGLAND,Isocarboxazid,18.0,7394.75,6883.36569
2021-01,EAST OF ENGLAND,Moclobemide,77.0,2917.26,2720.6588
2021-01,EAST OF ENGLAND,Phenelzine sulfate,59.0,21822.81,20313.661
2021-01,EAST OF ENGLAND,Tranylcypromine sulfate,38.0,28676.72,26692.28082
2021-01,EAST OF ENGLAND,Citalopram hydrobromide,171838.0,231148.93,218598.71528
2021-01,EAST OF ENGLAND,Fluoxetine hydrochloride,69808.0,270269.18,254939.26475
2021-01,EAST OF ENGLAND,Fluvoxamine maleate,251.0,5083.16,4748.26865
2021-01,EAST OF ENGLAND,Paroxetine hydrochloride,13866.0,49708.66,46905.97672
2021-01,EAST OF ENGLAND,Sertraline hydrochloride,187596.0,1415809.7,1322271.6919
2021-01,EAST OF ENGLAND,Escitalopram,13687.0,30807.8,28978.79464
2021-01,EAST OF ENGLAND,Citalopram hydrochloride,745.0,12255.6,11415.68434
2021-01,EAST OF ENGLAND,Vortioxetine,2246.0,54725.22,51020.82404
2021-01,EAST OF ENGLAND,Flupentixol hydrochloride,1848.0,5069.1,4863.62532
2021-01,EAST OF ENGLAND,Tryptophan,6.0,1048.78,976.32692
2021-01,EAST OF ENGLAND,Reboxetine,192.0,3302.85,3088.84965
2021-01,EAST OF ENGLAND,Venlafaxine,60447.0,372496.58,349306.29638
2021-01,EAST OF ENGLAND,Mirtazapine,92589.0,244969.94,231710.66088
2021-01,EAST OF ENGLAND,Duloxetine hydrochloride,25600.0,102223.64,95981.04043
2021-01,EAST OF ENGLAND,Agomelatine,184.0,7691.79,7165.85891
2021-01,EAST OF ENGLAND,Bupropion hydrochloride,178.0,6744.98,6288.33938
2021-01,LONDON,Flupentixol hydrochloride,441.0,2486.55,2363.22587
2021-01,LONDON,Flupentixol decanoate,600.0,14931.62,13927.096
2021-01,LONDON,Amitriptyline hydrochloride,104398.0,200778.71,191573.09097
2021-01,LONDON,Clomipramine hydrochloride,1774.0,16640.63,15569.47203
2021-01,LONDON,Dosulepin hydrochloride,3411.0,46329.42,43298.9269
2021-01,LONDON,Doxepin,201.0,36839.24,34299.33383
2021-01,LONDON,Imipramine hydrochloride,914.0,15807.75,14759.50492
2021-01,LONDON,Lofepramine hydrochloride,1283.0,23185.68,21684.89337
2021-01,LONDON,Mianserin hydrochloride,2.0,131.52,122.4371
2021-01,LONDON,Nortriptyline,6241.0,24096.85,23053.04193
2021-01,LONDON,Trazodone hydrochloride,4982.0,21514.04,20445.75691
2021-01,LONDON,Trimipramine maleate,308.0,133915.69,124655.21514
2021-01,LONDON,Isocarboxazid,21.0,2934.56,2733.2036
2021-01,LONDON,Moclobemide,85.0,3105.68,2896.46721
2021-01,LONDON,Phenelzine sulfate,38.0,18562.1,17278.45511
2021-01,LONDON,Tranylcypromine sulfate,70.0,74790.51,69614.47302
2021-01,LONDON,Citalopram hydrobromide,109289.0,157798.96,151295.57053
2021-01,LONDON,Fluoxetine hydrochloride,47034.0,187623.81,177936.32636
2021-01,LONDON,Fluvoxamine maleate,283.0,7003.5,6539.82054
2021-01,LONDON,Paroxetine hydrochloride,11508.0,38682.82,36853.35448
2021-01,LONDON,Sertraline hydrochloride,150110.0,1184870.6,1109251.36113
2021-01,LONDON,Escitalopram,13046.0,36069.74,33993.46059
2021-01,LONDON,Citalopram hydrochloride,380.0,6831.18,6362.83579
2021-01,LONDON,Vortioxetine,1701.0,42534.36,39681.3681
2021-01,LONDON,Flupentixol hydrochloride,801.0,2179.52,2103.62159
2021-01,LONDON,Oxitriptan,4.0,108.76,101.47802
2021-01,LONDON,Tryptophan,26.0,1288.88,1202.14809
2021-01,LONDON,Nefazodone hydrochloride,1.0,620.0,577.07771
2021-01,LONDON,Reboxetine,157.0,2785.7,2606.93852
2021-01,LONDON,Venlafaxine,37789.0,252625.24,237823.81443
2021-01,LONDON,Mirtazapine,95291.0,231867.56,221689.11818
2021-01,LONDON,Duloxetine hydrochloride,19757.0,71692.7,67919.57505
2021-01,LONDON,Agomelatine,387.0,17010.84,15853.24716
2021-01,LONDON,Bupropion hydrochloride,646.0,29078.79,27122.20833
2021-01,MIDLANDS,Flupentixol hydrochloride,420.0,2810.35,2660.95575
2021-01,MIDLANDS,Flupentixol decanoate,517.0,12526.15,11690.5842
2021-01,MIDLANDS,Amitriptyline hydrochloride,238653.0,513981.17,483571.19213
2021-01,MIDLANDS,Clomipramine hydrochloride,3251.0,30728.35,28696.98626
2021-01,MIDLANDS,Dosulepin hydrochloride,7510.0,107499.3,100237.59804
2021-01,MIDLANDS,Doxepin,306.0,56637.53,52721.13403
2021-01,MIDLANDS,Imipramine hydrochloride,2186.0,41179.05,38375.31248
2021-01,MIDLANDS,Lofepramine hydrochloride,2822.0,62522.23,58380.34832
2021-01,MIDLANDS,Mianserin hydrochloride,2.0,117.42,109.31352
2021-01,MIDLANDS,Nortriptyline,10117.0,48860.23,46430.80921
2021-01,MIDLANDS,Trazodone hydrochloride,11263.0,58137.45,54959.74621
2021-01,MIDLANDS,Trimipramine maleate,244.0,91587.98,85253.19973
2021-01,MIDLANDS,Isocarboxazid,26.0,7815.78,7276.46358
2021-01,MIDLANDS,Moclobemide,118.0,4137.35,3858.36738
2021-01,MIDLANDS,Phenelzine sulfate,29.0,14302.3,13312.73256
2021-01,MIDLANDS,Tranylcypromine sulfate,58.0,54412.22,50646.2957
2021-01,MIDLANDS,Citalopram hydrobromide,230144.0,332046.66,313561.6519
2021-01,MIDLANDS,Fluoxetine hydrochloride,113765.0,388388.98,367887.53621
2021-01,MIDLANDS,Fluvoxamine maleate,335.0,6832.85,6385.70953
2021-01,MIDLANDS,Paroxetine hydrochloride,19934.0,72270.02,68400.60422
2021-01,MIDLANDS,Sertraline hydrochloride,306804.0,2441284.53,2279347.87871
2021-01,MIDLANDS,Escitalopram,21813.0,48548.34,45693.36536
2021-01,MIDLANDS,Citalopram hydrochloride,1180.0,18288.9,17036.67427
2021-01,MIDLANDS,Vortioxetine,3688.0,87455.61,81602.79746
2021-01,MIDLANDS,Flupentixol hydrochloride,2508.0,7688.92,7374.11992
2021-01,MIDLANDS,Oxitriptan,5.0,124.43,191.27529
2021-01,MIDLANDS,Tryptophan,16.0,1144.32,1105.388
2021-01,MIDLANDS,Nefazodone hydrochloride,1.0,1226.43,1141.51274
2021-01,MIDLANDS,Reboxetine,299.0,5391.9,5042.85011
2021-01,MIDLANDS,Venlafaxine,77406.0,546841.12,512680.5389
2021-01,MIDLANDS,Mirtazapine,153167.0,429586.41,405482.91676
2021-01,MIDLANDS,Duloxetine hydrochloride,47450.0,202936.59,190334.77155
2021-01,MIDLANDS,Agomelatine,232.0,11038.11,10281.13002
2021-01,MIDLANDS,Bupropion hydrochloride,160.0,6265.43,5861.56472
2021-01,NORTH EAST AND YORKSHIRE,Flupentixol hydrochloride,634.0,3216.75,3064.4911
2021-01,NORTH EAST AND YORKSHIRE,Flupentixol decanoate,567.0,9784.03,9136.72082
2021-01,NORTH EAST AND YORKSHIRE,Amitriptyline hydrochloride,255754.0,501037.42,474843.67129
2021-01,NORTH EAST AND YORKSHIRE,Clomipramine hydrochloride,3382.0,27016.71,25299.5291
2021-01,NORTH EAST AND YORKSHIRE,Dosulepin hydrochloride,6535.0,78643.56,73455.91527
2021-01,NORTH EAST AND YORKSHIRE,Doxepin,396.0,74873.29,69704.0517
2021-01,NORTH EAST AND YORKSHIRE,Imipramine hydrochloride,1933.0,31063.08,28985.39171
2021-01,NORTH EAST AND YORKSHIRE,Lofepramine hydrochloride,3219.0,58931.28,55101.64578
2021-01,NORTH EAST AND YORKSHIRE,Mianserin hydrochloride,2.0,175.8,163.75073
2021-01,NORTH EAST AND YORKSHIRE,Nortriptyline,10048.0,39404.69,37669.321
2021-01,NORTH EAST AND YORKSHIRE,Trazodone hydrochloride,37616.0,121893.57,116670.49147
2021-01,NORTH EAST AND YORKSHIRE,Trimipramine maleate,303.0,96803.27,90115.01224
2021-01,NORTH EAST AND YORKSHIRE,Isocarboxazid,7.0,2217.61,2064.62843
2021-01,NORTH EAST AND YORKSHIRE,Moclobemide,100.0,3765.22,3511.87077
2021-01,NORTH EAST AND YORKSHIRE,Phenelzine sulfate,54.0,16410.59,15277.53454
2021-01,NORTH EAST AND YORKSHIRE,Tranylcypromine sulfate,44.0,43934.23,40893.61518
2021-01,NORTH EAST AND YORKSHIRE,Citalopram hydrobromide,203618.0,267290.38,254867.93596
2021-01,NORTH EAST AND YORKSHIRE,Fluoxetine hydrochloride,138853.0,379751.63,363493.22024
2021-01,NORTH EAST AND YORKSHIRE,Fluvoxamine maleate,329.0,6398.91,5983.08253
2021-01,NORTH EAST AND YORKSHIRE,Paroxetine hydrochloride,19517.0,58426.03,55725.22759
2021-01,NORTH EAST AND YORKSHIRE,Sertraline hydrochloride,318036.0,2253397.71,2108349.22307
2021-01,NORTH EAST AND YORKSHIRE,Escitalopram,16676.0,34472.25,32661.24399
2021-01,NORTH EAST AND YORKSHIRE,Citalopram hydrochloride,807.0,12611.86,11748.25294
2021-01,NORTH EAST AND YORKSHIRE,Vortioxetine,2632.0,45399.42,42438.48773
2021-01,NORTH EAST AND YORKSHIRE,Flupentixol hydrochloride,2332.0,5737.0,5561.36249
2021-01,NORTH EAST AND YORKSHIRE,Tryptophan,29.0,993.3,927.37408
2021-01,NORTH EAST AND YORKSHIRE,Reboxetine,462.0,6675.06,6257.67081
2021-01,NORTH EAST AND YORKSHIRE,Venlafaxine,67737.0,407059.05,383456.24189
2021-01,NORTH EAST AND YORKSHIRE,Mirtazapine,187963.0,434880.44,415050.01349
2021-01,NORTH EAST AND YORKSHIRE,Duloxetine hydrochloride,56114.0,197245.46,186357.09869
2021-01,NORTH EAST AND YORKSHIRE,Agomelatine,310.0,7781.3,7267.66837
2021-01,NORTH EAST AND YORKSHIRE,Bupropion hydrochloride,166.0,6053.1,5645.74692
2021-01,NORTH WEST,Flupentixol hydrochloride,410.0,2556.11,2424.58446
2021-01,NORTH WEST,Flupentixol decanoate,522.0,11635.2,10872.79928
2021-01,NORTH WEST,Amitriptyline hydrochloride,164474.0,350187.78,330058.97895
2021-01,NORTH WEST,Clomipramine hydrochloride,2931.0,27324.35,25532.2252
2021-01,NORTH WEST,Dosulepin hydrochloride,5731.0,83412.19,77794.4723
2021-01,NORTH WEST,Doxepin,201.0,41095.87,38256.85721
2021-01,NORTH WEST,Imipramine hydrochloride,1130.0,21523.68,20062.38956
2021-01,NORTH WEST,Lofepramine hydrochloride,1407.0,29303.76,27377.07714
2021-01,NORTH WEST,Nortriptyline,10764.0,49177.95,46911.45979
2021-01,NORTH WEST,Trazodone hydrochloride,15078.0,82542.28,78102.98857
2021-01,NORTH WEST,Trimipramine maleate,172.0,66516.4,61915.06838
2021-01,NORTH WEST,Isocarboxazid,2.0,700.3,652.02938
2021-01,NORTH WEST,Moclobemide,85.0,3212.06,2996.78044
2021-01,NORTH WEST,Phenelzine sulfate,28.0,5717.76,5323.65523
2021-01,NORTH WEST,Tranylcypromine sulfate,18.0,23148.82,21546.18673
2021-01,NORTH WEST,Citalopram hydrobromide,159512.0,221322.78,209457.7711
2021-01,NORTH WEST,Fluoxetine hydrochloride,86767.0,280226.76,267524.09737
2021-01,NORTH WEST,Fluvoxamine maleate,226.0,4663.22,4360.89692
2021-01,NORTH WEST,Paroxetine hydrochloride,16858.0,56046.39,53452.5437
2021-01,NORTH WEST,Sertraline hydrochloride,262880.0,1986257.45,1855973.98593
2021-01,NORTH WEST,Escitalopram,15976.0,36409.9,34310.88396
2021-01,NORTH WEST,Citalopram hydrochloride,772.0,11956.14,11137.69334
2021-01,NORTH WEST,Vortioxetine,2516.0,53911.44,50310.33611
2021-01,NORTH WEST,Flupentixol hydrochloride,1446.0,4443.4,4269.96587
2021-01,NORTH WEST,Tryptophan,7.0,864.83,805.52775
2021-01,NORTH WEST,Nefazodone hydrochloride,1.0,1001.0,931.69366
2021-01,NORTH WEST,Reboxetine,288.0,4795.97,4491.99809
2021-01,NORTH WEST,Venlafaxine,68392.0,464800.51,436675.81041
2021-01,NORTH WEST,Mirtazapine,159890.0,408297.95,387163.52578
2021-01,NORTH WEST,Duloxetine hydrochloride,41482.0,169743.89,159449.68868
2021-01,NORTH WEST,Agomelatine,109.0,4241.02,3952.57089
2021-01,NORTH WEST,Bupropion hydrochloride,133.0,5163.57,4813.81967
2021-01,SOUTH EAST,Flupentixol hydrochloride,257.0,1687.97,1598.84081
2021-01,SOUTH EAST,Flupentixol decanoate,483.0,8547.01,7973.27419
2021-01,SOUTH EAST,Amitriptyline hydrochloride,154464.0,376652.43,354330.65479
2021-01,SOUTH EAST,Clomipramine hydrochloride,2546.0,26292.35,24547.32731
2021-01,SOUTH EAST,Dosulepin hydrochloride,5573.0,78017.91,72784.81964
2021-01,SOUTH EAST,Doxepin,191.0,49962.89,46518.80496
2021-01,SOUTH EAST,Imipramine hydrochloride,1868.0,33456.54,31189.62188
2021-01,SOUTH EAST,Lofepramine hydrochloride,1357.0,29767.99,27793.16778
2021-01,SOUTH EAST,Nortriptyline,9085.0,47122.29,44676.35936
2021-01,SOUTH EAST,Trazodone hydrochloride,13812.0,79683.98,75252.17969
2021-01,SOUTH EAST,Trimipramine maleate,402.0,163293.35,151999.76663
2021-01,SOUTH EAST,Isocarboxazid,13.0,5281.38,4916.5083
2021-01,SOUTH EAST,Moclobemide,107.0,5181.09,4828.42971
2021-01,SOUTH EAST,Phenelzine sulfate,85.0,51208.03,47683.20418
2021-01,SOUTH EAST,Tranylcypromine sulfate,137.0,106329.61,98973.77504
2021-01,SOUTH EAST,Citalopram hydrobromide,171170.0,271657.29,256642.97296
2021-01,SOUTH EAST,Fluoxetine hydrochloride,78432.0,312020.0,295038.5235
2021-01,SOUTH EAST,Fluvoxamine maleate,269.0,6240.63,5827.10686
2021-01,SOUTH EAST,Paroxetine hydrochloride,14150.0,57550.37,54399.92621
2021-01,SOUTH EAST,Sertraline hydrochloride,224365.0,1967551.54,1836867.94774
2021-01,SOUTH EAST,Escitalopram,25463.0,63680.97,59883.60489
2021-01,SOUTH EAST,Citalopram hydrochloride,1017.0,16789.5,15639.01143
2021-01,SOUTH EAST,Vortioxetine,4243.0,106790.31,99578.44305
2021-01,SOUTH EAST,Flupentixol hydrochloride,1292.0,4033.64,3861.9246
2021-01,SOUTH EAST,Oxitriptan,3.0,1046.44,974.01176
2021-01,SOUTH EAST,Tryptophan,8.0,1036.01,1004.34122
2021-01,SOUTH EAST,Nefazodone hydrochloride,1.0,966.48,899.56415
2021-01,SOUTH EAST,Reboxetine,234.0,4885.72,4565.63919
2021-01,SOUTH EAST,Venlafaxine,60497.0,490163.84,459272.70485
2021-01,SOUTH EAST,Mirtazapine,118277.0,347878.05,328636.72344
2021-01,SOUTH EAST,Duloxetine hydrochloride,33803.0,156973.76,147269.25079
2021-01,SOUTH EAST,Agomelatine,553.0,23458.21,21855.67547
2021-01,SOUTH EAST,Bupropion hydrochloride,426.0,17536.86,16363.55049
2021-01,SOUTH WEST,Flupentixol hydrochloride,303.0,2129.33,2013.00879
2021-01,SOUTH WEST,Flupentixol decanoate,448.0,6518.23,6078.69417
2021-01,SOUTH WEST,Amitriptyline hydrochloride,141832.0,324262.44,305355.38834
2021-01,SOUTH WEST,Clomipramine hydrochloride,1795.0,17049.45,15927.93313
2021-01,SOUTH WEST,Dosulepin hydrochloride,4018.0,55794.09,52051.45759
2021-01,SOUTH WEST,Doxepin,221.0,40108.05,37339.25561
2021-01,SOUTH WEST,Imipramine hydrochloride,1218.0,19087.58,17801.76495
2021-01,SOUTH WEST,Lofepramine hydrochloride,1355.0,28771.9,26870.6721
2021-01,SOUTH WEST,Mianserin hydrochloride,5.0,416.31,387.94273
2021-01,SOUTH WEST,Nortriptyline,5235.0,23846.88,22667.1454
2021-01,SOUTH WEST,Trazodone hydrochloride,9022.0,40229.36,38131.16477
2021-01,SOUTH WEST,Trimipramine maleate,155.0,61913.08,57629.66724
2021-01,SOUTH WEST,Isocarboxazid,41.0,9966.69,9279.68535
2021-01,SOUTH WEST,Moclobemide,103.0,3079.27,2873.39769
2021-01,SOUTH WEST,Phenelzine sulfate,46.0,16075.4,15059.27027
2021-01,SOUTH WEST,Tranylcypromine sulfate,73.0,78992.28,73524.73532
2021-01,SOUTH WEST,Citalopram hydrobromide,131146.0,197335.25,186648.09678
2021-01,SOUTH WEST,Fluoxetine hydrochloride,57230.0,189936.49,180082.91962
2021-01,SOUTH WEST,Fluvoxamine maleate,180.0,3954.31,3693.95932
2021-01,SOUTH WEST,Paroxetine hydrochloride,10622.0,40102.21,37928.80571
2021-01,SOUTH WEST,Sertraline hydrochloride,162372.0,1322296.63,1235017.20071
2021-01,SOUTH WEST,Escitalopram,12503.0,30148.31,28393.83414
2021-01,SOUTH WEST,Citalopram hydrochloride,537.0,8649.0,8056.34736
2021-01,SOUTH WEST,Vortioxetine,1019.0,24009.48,22394.94353
2021-01,SOUTH WEST,Flupentixol hydrochloride,1086.0,3352.35,3209.56258
2021-01,SOUTH WEST,Tryptophan,5.0,280.0,261.07214
2021-01,SOUTH WEST,Nefazodone hydrochloride,1.0,174.51,162.43767
2021-01,SOUTH WEST,Reboxetine,234.0,4117.04,3851.69063
2021-01,SOUTH WEST,Venlafaxine,49441.0,346475.87,324897.37245
2021-01,SOUTH WEST,Mirtazapine,98728.0,270832.0,256363.14525
2021-01,SOUTH WEST,Duloxetine hydrochloride,25672.0,106067.86,99697.16099
2021-01,SOUTH WEST,Agomelatine,181.0,7761.87,7231.73471
2021-01,SOUTH WEST,Bupropion hydrochloride,156.0,6559.86,6219.32803
2021-01,UNIDENTIFIED,Amitriptyline hydrochloride,44.0,67.49,63.96194
2021-01,UNIDENTIFIED,Clomipramine hydrochloride,2.0,15.86,14.76171
2021-01,UNIDENTIFIED,Nortriptyline,1.0,1.48,1.37751
2021-01,UNIDENTIFIED,Trazodone hydrochloride,3.0,12.61,11.87397
2021-01,UNIDENTIFIED,Citalopram hydrobromide,26.0,29.33,27.79653
2021-01,UNIDENTIFIED,Fluoxetine hydrochloride,69.0,2578.47,2404.15545
2021-01,UNIDENTIFIED,Paroxetine hydrochloride,3.0,9.62,9.29103
2021-01,UNIDENTIFIED,Sertraline hydrochloride,64.0,446.67,418.58231
2021-01,UNIDENTIFIED,Escitalopram,3.0,5.02,4.68477
2021-01,UNIDENTIFIED,Vortioxetine,3.0,65.34,60.95244
2021-01,UNIDENTIFIED,Tryptophan,1.0,28.0,26.17341
2021-01,UNIDENTIFIED,Venlafaxine,16.0,113.47,106.81065
2021-01,UNIDENTIFIED,Mirtazapine,50.0,124.24,118.15645
2021-01,UNIDENTIFIED,Duloxetine hydrochloride,22.0,75.58,71.01892
2021-02,EAST OF ENGLAND,Flupentixol hydrochloride,236.0,1623.07,1535.08691
2021-02,EAST OF ENGLAND,Flupentixol decanoate,318.0,4156.8,3882.32794
2021-02,EAST OF ENGLAND,Amitriptyline hydrochloride,149640.0,313149.17,294924.20998
2021-02,EAST OF ENGLAND,Clomipramine hydrochloride,2743.0,20999.5,19659.22589
2021-02,EAST OF ENGLAND,Dosulepin hydrochloride,4741.0,58605.56,54713.50578
2021-02,EAST OF ENGLAND,Doxepin,186.0,33515.64,31222.14046
2021-02,EAST OF ENGLAND,Imipramine hydrochloride,1155.0,19380.78,18078.48104
2021-02,EAST OF ENGLAND,Lofepramine hydrochloride,1270.0,24711.05,23103.01098
2021-02,EAST OF ENGLAND,Mianserin hydrochloride,1.0,68.88,64.16801
2021-02,EAST OF ENGLAND,Nortriptyline,7180.0,33025.32,31390.77823
2021-02,EAST OF ENGLAND,Trazodone hydrochloride,7019.0,33645.39,31889.91974
2021-02,EAST OF ENGLAND,Trimipramine maleate,212.0,82285.59,76648.5942
2021-02,EAST OF ENGLAND,Isocarboxazid,22.0,9145.48,8519.15117
2021-02,EAST OF ENGLAND,Moclobemide,76.0,2801.49,2614.74456
2021-02,EAST OF ENGLAND,Phenelzine sulfate,54.0,31793.51,29613.87836
2021-02,EAST OF ENGLAND,Tranylcypromine sulfate,34.0,25305.7,23571.26144
2021-02,EAST OF ENGLAND,Citalopram hydrobromide,159919.0,214626.88,203161.74704
2021-02,EAST OF ENGLAND,Fluoxetine hydrochloride,65100.0,253327.88,239070.05043
2021-02,EAST OF ENGLAND,Fluvoxamine maleate,240.0,4666.63,4363.155
2021-02,EAST OF ENGLAND,Paroxetine hydrochloride,12828.0,45308.43,42793.25281
2021-02,EAST OF ENGLAND,Sertraline hydrochloride,176342.0,1326818.9,1240051.29622
2021-02,EAST OF ENGLAND,Escitalopram,12899.0,29028.53,27326.64871
2021-02,EAST OF ENGLAND,Citalopram hydrochloride,696.0,11098.52,10345.51997
2021-02,EAST OF ENGLAND,Vortioxetine,2198.0,53654.04,50060.25519
2021-02,EAST OF ENGLAND,Flupentixol hydrochloride,1710.0,4764.63,4571.72591
2021-02,EAST OF ENGLAND,Tryptophan,5.0,1228.02,1143.84127
2021-02,EAST OF ENGLAND,Reboxetine,174.0,3116.26,2914.31699
2021-02,EAST OF ENGLAND,Venlafaxine,56820.0,348248.62,326803.63558
2021-02,EAST OF ENGLAND,Mirtazapine,87072.0,229393.0,217202.5953
2021-02,EAST OF ENGLAND,Duloxetine hydrochloride,24182.0,93807.66,88160.12863
2021-02,EAST OF ENGLAND,Agomelatine,163.0,6597.38,6150.97222
2021-02,EAST OF ENGLAND,Bupropion hydrochloride,194.0,7445.87,6945.27421
2021-02,LONDON,Flupentixol hydrochloride,445.0,2511.41,2388.67361
2021-02,LONDON,Flupentixol decanoate,554.0,14254.27,13305.57187
2021-02,LONDON,Amitriptyline hydrochloride,98556.0,187755.0,179310.05255
2021-02,LONDON,Clomipramine hydrochloride,1646.0,15809.98,14797.00385
2021-02,LONDON,Dosulepin hydrochloride,3114.0,42469.91,39721.6546
2021-02,LONDON,Doxepin,186.0,38815.75,36163.53346
2021-02,LONDON,Imipramine hydrochloride,839.0,14927.44,13942.68945
2021-02,LONDON,Lofepramine hydrochloride,1113.0,21036.49,19681.92474
2021-02,LONDON,Mianserin hydrochloride,2.0,68.88,64.1804
2021-02,LONDON,Nortriptyline,6039.0,23566.77,22632.72782
2021-02,LONDON,Trazodone hydrochloride,4775.0,22508.88,21369.00929
2021-02,LONDON,Trimipramine maleate,311.0,126398.05,117740.92473
2021-02,LONDON,Isocarboxazid,15.0,5385.59,5017.38525
2021-02,LONDON,Moclobemide,90.0,2917.38,2724.49658
2021-02,LONDON,Phenelzine sulfate,43.0,24183.7,22547.20394
2021-02,LONDON,Tranylcypromine sulfate,55.0,57927.33,53956.75005
2021-02,LONDON,Citalopram hydrobromide,102447.0,146928.98,141024.02496
2021-02,LONDON,Fluoxetine hydrochloride,44534.0,183271.24,173839.66792
2021-02,LONDON,Fluvoxamine maleate,273.0,6525.91,6098.79141
2021-02,LONDON,Paroxetine hydrochloride,10970.0,38505.67,36657.34462
2021-02,LONDON,Sertraline hydrochloride,142008.0,1112144.47,1041966.68353
2021-02,LONDON,Escitalopram,12495.0,34582.74,32613.24402
2021-02,LONDON,Citalopram hydrochloride,332.0,5747.94,5357.81263
2021-02,LONDON,Vortioxetine,1627.0,41512.68,38751.5522
2021-02,LONDON,Flupentixol hydrochloride,719.0,2059.86,1985.19239
2021-02,LONDON,Oxitriptan,2.0,68.63,64.04756
2021-02,LONDON,Tryptophan,13.0,1927.78,1797.01722
2021-02,LONDON,Nefazodone hydrochloride,2.0,1855.84,1728.5751
2021-02,LONDON,Reboxetine,170.0,2799.16,2621.97729
2021-02,LONDON,Venlafaxine,36108.0,241237.06,227300.52216
2021-02,LONDON,Mirtazapine,90261.0,220143.94,210590.46713
2021-02,LONDON,Duloxetine hydrochloride,19087.0,66016.5,62644.9993
2021-02,LONDON,Agomelatine,351.0,15363.6,14328.38274
2021-02,LONDON,Bupropion hydrochloride,579.0,26585.81,24792.90207
2021-02,MIDLANDS,Flupentixol hydrochloride,378.0,2374.21,2252.61591
2021-02,MIDLANDS,Flupentixol decanoate,486.0,10568.34,9875.02511
2021-02,MIDLANDS,Amitriptyline hydrochloride,225482.0,487775.69,459242.28043
2021-02,MIDLANDS,Clomipramine hydrochloride,3057.0,29804.85,27851.47647
2021-02,MIDLANDS,Dosulepin hydrochloride,7060.0,101418.83,94641.67423
2021-02,MIDLANDS,Doxepin,279.0,55220.0,51438.16835
2021-02,MIDLANDS,Imipramine hydrochloride,2036.0,38187.06,35612.04776
2021-02,MIDLANDS,Lofepramine hydrochloride,2596.0,56179.84,52501.89386
2021-02,MIDLANDS,Mianserin hydrochloride,3.0,159.72,148.80221
2021-02,MIDLANDS,Nortriptyline,9617.0,47661.45,45335.41218
2021-02,MIDLANDS,Trazodone hydrochloride,10890.0,57573.94,54440.2271
2021-02,MIDLANDS,Trimipramine maleate,234.0,96321.75,89721.6302
2021-02,MIDLANDS,Isocarboxazid,33.0,8516.09,7934.67902
2021-02,MIDLANDS,Moclobemide,96.0,3756.16,3505.00853
2021-02,MIDLANDS,Phenelzine sulfate,33.0,17698.64,16485.92196
2021-02,MIDLANDS,Tranylcypromine sulfate,49.0,42674.51,39749.49003
2021-02,MIDLANDS,Citalopram hydrobromide,215579.0,309956.27,292956.44791
2021-02,MIDLANDS,Fluoxetine hydrochloride,107015.0,366144.84,347002.42383
2021-02,MIDLANDS,Fluvoxamine maleate,366.0,7270.48,6800.56026
2021-02,MIDLANDS,Paroxetine hydrochloride,18752.0,68811.37,65158.95323
2021-02,MIDLANDS,Sertraline hydrochloride,290087.0,2295775.64,2145128.10043
2021-02,MIDLANDS,Escitalopram,20539.0,45483.81,42843.2756
2021-02,MIDLANDS,Citalopram hydrochloride,1097.0,16941.6,15792.79013
2021-02,MIDLANDS,Vortioxetine,3384.0,80152.38,74801.29813
2021-02,MIDLANDS,Flupentixol hydrochloride,2247.0,6577.46,6325.42132
2021-02,MIDLANDS,Oxitriptan,2.0,43.95,78.14033
2021-02,MIDLANDS,Tryptophan,13.0,737.18,706.96737
2021-02,MIDLANDS,Nefazodone hydrochloride,2.0,688.39,641.199
2021-02,MIDLANDS,Reboxetine,277.0,4886.35,4573.40251
2021-02,MIDLANDS,Venlafaxine,73818.0,522722.67,490479.47277
2021-02,MIDLANDS,Mirtazapine,146601.0,407950.78,385449.70921
2021-02,MIDLANDS,Duloxetine hydrochloride,45410.0,185819.59,174493.10782
2021-02,MIDLANDS,Agomelatine,220.0,10028.89,9349.21296
2021-02,MIDLANDS,Bupropion hydrochloride,155.0,5562.44,5210.74431
2021-02,NORTH EAST AND YORKSHIRE,Flupentixol hydrochloride,674.0,3295.48,3143.83052
2021-02,NORTH EAST AND YORKSHIRE,Flupentixol decanoate,499.0,8283.82,7741.33932
