city,2020,2021,2022
Birmingham,7.7,7.71,7.65
Brighton,7.61,7.71,7.67
Bristol,7.47,7.49,7.33
Canterbury,7.93,7.81,7.6
Exeter,7.29,7.59,8.1
Leeds,7.71,7.89,7.68
London,7.6,7.68,7.6
Manchester,7.53,7.72,7.29
Middlesbrough,7.62,7.65,7.64
Newcastle upon Tyne,7.63,7.82,7.56
Nottingham,7.66,7.81,7.49
Peterborough,7.69,7.67,7.5
Plymouth,7.75,7.6,7.72
Sunderland,7.6,7.41,7.72
York,7.62,7.81,7.68
