city,2020,2021,2022
Birmingham,7.2,7.5,7.24
Brighton,7.27,7.57,7.39
Bristol,7.15,7.37,7.31
Canterbury,7.47,7.91,7.46
Exeter,7.35,7.31,7.36
Leeds,7.28,7.54,7.46
London,7.27,7.46,7.35
Manchester,7.12,7.45,6.97
Middlesbrough,7.21,7.5,7.35
Newcastle upon Tyne,7.29,7.69,7.5
Nottingham,7.12,7.25,7.24
Peterborough,7.21,7.27,7.25
Plymouth,7.56,7.4,7.45
Sunderland,7.3,7.23,7.3
York,7.46,7.65,7.57
