city,2020,2021,2022,2023
Birmingham,28.2,28.6,28.6,28.3
Brighton,18.4,18.3,20.8,20.9
Bristol,18.6,19.3,19.2,20.8
Canterbury,16.8,21.1,30.4,27.7
Exeter,20.2,22.1,26.6,19.3
Leeds,16.3,23,20.7,23.1
London,20,20.6,20.2,21.4
Manchester,26.7,24.1,27.9,25.5
Middlesbrough,31.1,28.2,29.3,29.2
Newcastle upon Tyne,24,24.9,29.4,24
Nottingham,23.4,24.4,32,29.7
Peterborough,21.4,23.2,16.7,17.2
Plymouth,20.7,21.5,23.7,25.1
Sunderland,24.8,27.5,26.3,24.8
York,20.4,17.9,13.5,18.6
