city,2020,2021,2022
Birmingham,7.16,7.32,7.18
Brighton,7.14,7.26,7.03
Bristol,6.99,7.25,7.2
Canterbury,7.2,7.39,7.37
Exeter,7.25,7.17,7.34
Leeds,7.2,7.35,7.28
London,7.25,7.37,7.32
Manchester,7.12,7.26,6.85
Middlesbrough,7.26,7.41,7.05
Newcastle upon Tyne,7.3,7.49,7.28
Nottingham,7.13,7.2,7.24
Peterborough,7.29,7.26,7.14
Plymouth,7.44,7.53,7.71
Sunderland,7.1,7.1,7.33
York,7.39,7.34,7.45
