city,2020,2021,2022,2023
Birmingham,65.4,64.6,66.3,65.9
Brighton,75.1,77.6,76.1,75.7
Bristol,77.2,78,78.5,76.1
Canterbury,80.3,76.5,69,67.2
Exeter,76.2,77.4,70.4,78.8
Leeds,80.2,72.7,77.3,74.7
London,75.2,74.9,76.2,74.6
Manchester,67,69.1,67.8,71.4
Middlesbrough,65,65.3,65.9,64.4
Newcastle upon Tyne,71.3,69.7,67.7,74.3
Nottingham,71.7,71.7,63.7,66.1
Peterborough,74.6,74.8,79.3,80
Plymouth,75.7,75.4,73.6,72.9
Sunderland,70.3,68.8,71,72.4
York,77.9,80.5,85.5,79.4
