date,country,group,chemical_substance,items_1000,items,actual_cost
2021-01,England,Anxiolytics,Sodium oxybate,0.023,23.0,21169.6695
2021-01,England,Anxiolytics,Melatonin,13.612,13612.0,473801.90184
2021-01,England,Anxiolytics,Chloral hydrate,0.105,105.0,9711.62549
2021-01,England,Anxiolytics,Cloral betaine,0.005,5.0,361.74905
2021-01,England,Anxiolytics,Clomethiazole edisilate,0.001,1.0,27.93492
2021-01,England,Anxiolytics,Clomethiazole,0.063,63.0,2218.10173
2021-01,England,Anxiolytics,Loprazolam mesilate,0.181,181.0,4407.81442
2021-01,England,Anxiolytics,Lormetazepam,0.155,155.0,2916.02184
2021-01,England,Anxiolytics,Nitrazepam,3.976,3976.0,17176.95679
2021-01,England,Anxiolytics,Temazepam,8.159,8159.0,22758.63812
2021-01,England,Anxiolytics,Zolpidem tartrate,7.349,7349.0,9761.68257
2021-01,England,Anxiolytics,Zopiclone,58.18,58180.0,52809.77598
2021-01,England,Anxiolytics,Buspirone hydrochloride,1.598,1598.0,21558.05734
2021-01,England,Anxiolytics,Chlordiazepoxide hydrochloride,0.33,330.0,2613.83301
2021-01,England,Anxiolytics,Diazepam,44.941,44941.0,80967.90209
2021-01,England,Anxiolytics,Lorazepam,12.885,12885.0,70438.00879
2021-01,England,Anxiolytics,Oxazepam,0.45,450.0,4153.56333
2021-01,England,Anxiolytics,Amobarbital sodium,0.014,14.0,1503.34885
2021-01,England,Anxiolytics,Butobarbital,0.001,1.0,197.59904
2021-01,England,Anxiolytics,Secobarbital sodium,0.007,7.0,797.33239
2021-01,England,Antidepressants,Flupentixol hydrochloride,0.215,215.0,1322.50303
2021-01,England,Antidepressants,Flupentixol decanoate,0.358,358.0,4172.63479
2021-01,England,Antidepressants,Amitriptyline hydrochloride,159.088,159088.0,312997.23096
2021-01,England,Antidepressants,Clomipramine hydrochloride,2.866,2866.0,21065.98602
2021-01,England,Antidepressants,Dosulepin hydrochloride,5.124,5124.0,59931.57947
2021-01,England,Antidepressants,Doxepin,0.207,207.0,37050.30565
2021-01,England,Antidepressants,Imipramine hydrochloride,1.319,1319.0,21916.70396
2021-01,England,Antidepressants,Lofepramine hydrochloride,1.358,1358.0,25927.75267
2021-01,England,Antidepressants,Nortriptyline,7.724,7724.0,33814.59861
2021-01,England,Antidepressants,Trazodone hydrochloride,7.402,7402.0,33043.51773
2021-01,England,Antidepressants,Trimipramine maleate,0.226,226.0,80834.91348
2021-01,England,Antidepressants,Isocarboxazid,0.018,18.0,6883.36569
2021-01,England,Antidepressants,Moclobemide,0.077,77.0,2720.6588
2021-01,England,Antidepressants,Phenelzine sulfate,0.059,59.0,20313.661
2021-01,England,Antidepressants,Tranylcypromine sulfate,0.038,38.0,26692.28082
2021-01,England,Antidepressants,Citalopram hydrobromide,171.838,171838.0,218598.71528
2021-01,England,Antidepressants,Fluoxetine hydrochloride,69.808,69808.0,254939.26475
2021-01,England,Antidepressants,Fluvoxamine maleate,0.251,251.0,4748.26865
2021-01,England,Antidepressants,Paroxetine hydrochloride,13.866,13866.0,46905.97672
2021-01,England,Antidepressants,Sertraline hydrochloride,187.596,187596.0,1322271.6919
2021-01,England,Antidepressants,Escitalopram,13.687,13687.0,28978.79464
2021-01,England,Antidepressants,Citalopram hydrochloride,0.745,745.0,11415.68434
2021-01,England,Antidepressants,Vortioxetine,2.246,2246.0,51020.82404
2021-01,England,Antidepressants,Flupentixol hydrochloride,1.848,1848.0,4863.62532
2021-01,England,Antidepressants,Tryptophan,0.006,6.0,976.32692
2021-01,England,Antidepressants,Reboxetine,0.192,192.0,3088.84965
2021-01,England,Antidepressants,Venlafaxine,60.447,60447.0,349306.29638
2021-01,England,Antidepressants,Mirtazapine,92.589,92589.0,231710.66088
2021-01,England,Antidepressants,Duloxetine hydrochloride,25.6,25600.0,95981.04043
2021-01,England,Antidepressants,Agomelatine,0.184,184.0,7165.85891
2021-01,England,Anxiolytics,Promethazine teoclate,0.484,484.0,1485.74441
2021-01,England,Anxiolytics,Clobazam,3.055,3055.0,92751.72572
2021-01,England,Anxiolytics,Pregabalin,76.365,76365.0,357923.22456
2021-01,England,Anxiolytics,Clonazepam,13.208,13208.0,180272.39039
2021-01,England,Anxiolytics,Phenobarbital,1.954,1954.0,47006.71075
2021-01,England,Anxiolytics,Phenobarbital sodium,0.003,3.0,583.80082
2021-01,England,Anxiolytics,Paraldehyde,0.028,28.0,1442.89879
2021-01,England,Anxiolytics,Midazolam maleate,0.221,221.0,34628.92371
2021-01,England,Anxiolytics,Midazolam hydrochloride,0.666,666.0,60604.04706
2021-01,England,Antidepressants,Bupropion hydrochloride,0.178,178.0,6288.33938
2021-01,England,Anxiolytics,Sodium oxybate,0.01,10.0,8396.87854
2021-01,England,Anxiolytics,Melatonin,15.244,15244.0,426303.64454
2021-01,England,Anxiolytics,Chloral hydrate,0.141,141.0,21751.30728
2021-01,England,Anxiolytics,Cloral betaine,0.006,6.0,3018.79828
2021-01,England,Anxiolytics,Clomethiazole,0.067,67.0,1378.52936
2021-01,England,Anxiolytics,Loprazolam mesilate,0.041,41.0,993.80495
2021-01,England,Anxiolytics,Lormetazepam,0.101,101.0,1707.31189
2021-01,England,Anxiolytics,Nitrazepam,2.407,2407.0,28357.08909
2021-01,England,Anxiolytics,Temazepam,6.145,6145.0,21762.43308
2021-01,England,Anxiolytics,Zolpidem tartrate,7.025,7025.0,8973.22758
2021-01,England,Anxiolytics,Zopiclone,50.379,50379.0,41583.99491
2021-01,England,Anxiolytics,Buspirone hydrochloride,0.828,828.0,10619.7509
2021-01,England,Anxiolytics,Chlordiazepoxide hydrochloride,0.233,233.0,1431.36226
2021-01,England,Anxiolytics,Diazepam,37.176,37176.0,61925.00315
2021-01,England,Anxiolytics,Lorazepam,8.586,8586.0,46606.36634
2021-01,England,Anxiolytics,Oxazepam,0.285,285.0,2533.21702
2021-01,England,Anxiolytics,Amobarbital sodium,0.004,4.0,342.79132
2021-01,England,Anxiolytics,Butobarbital,0.003,3.0,394.62888
2021-01,England,Anxiolytics,Secobarbital sodium,0.02,20.0,2306.11917
2021-01,England,Antidepressants,Flupentixol hydrochloride,0.441,441.0,2363.22587
2021-01,England,Antidepressants,Flupentixol decanoate,0.6,600.0,13927.096
2021-01,England,Antidepressants,Amitriptyline hydrochloride,104.398,104398.0,191573.09097
2021-01,England,Antidepressants,Clomipramine hydrochloride,1.774,1774.0,15569.47203
2021-01,England,Antidepressants,Dosulepin hydrochloride,3.411,3411.0,43298.9269
2021-01,England,Antidepressants,Doxepin,0.201,201.0,34299.33383
2021-01,England,Antidepressants,Imipramine hydrochloride,0.914,914.0,14759.50492
2021-01,England,Antidepressants,Lofepramine hydrochloride,1.283,1283.0,21684.89337
2021-01,England,Antidepressants,Mianserin hydrochloride,0.002,2.0,122.4371
2021-01,England,Antidepressants,Nortriptyline,6.241,6241.0,23053.04193
2021-01,England,Antidepressants,Trazodone hydrochloride,4.982,4982.0,20445.75691
2021-01,England,Antidepressants,Trimipramine maleate,0.308,308.0,124655.21514
2021-01,England,Antidepressants,Isocarboxazid,0.021,21.0,2733.2036
2021-01,England,Antidepressants,Moclobemide,0.085,85.0,2896.46721
2021-01,England,Antidepressants,Phenelzine sulfate,0.038,38.0,17278.45511
2021-01,England,Antidepressants,Tranylcypromine sulfate,0.07,70.0,69614.47302
2021-01,England,Antidepressants,Citalopram hydrobromide,109.289,109289.0,151295.57053
2021-01,England,Antidepressants,Fluoxetine hydrochloride,47.034,47034.0,177936.32636
2021-01,England,Antidepressants,Fluvoxamine maleate,0.283,283.0,6539.82054
2021-01,England,Antidepressants,Paroxetine hydrochloride,11.508,11508.0,36853.35448
2021-01,England,Antidepressants,Sertraline hydrochloride,150.11,150110.0,1109251.36113
2021-01,England,Antidepressants,Escitalopram,13.046,13046.0,33993.46059
2021-01,England,Antidepressants,Citalopram hydrochloride,0.38,380.0,6362.83579
2021-01,England,Antidepressants,Vortioxetine,1.701,1701.0,39681.3681
2021-01,England,Antidepressants,Flupentixol hydrochloride,0.801,801.0,2103.62159
2021-01,England,Antidepressants,Oxitriptan,0.004,4.0,101.47802
2021-01,England,Antidepressants,Tryptophan,0.026,26.0,1202.14809
2021-01,England,Antidepressants,Nefazodone hydrochloride,0.001,1.0,577.07771
2021-01,England,Antidepressants,Reboxetine,0.157,157.0,2606.93852
2021-01,England,Antidepressants,Venlafaxine,37.789,37789.0,237823.81443
2021-01,England,Antidepressants,Mirtazapine,95.291,95291.0,221689.11818
2021-01,England,Antidepressants,Duloxetine hydrochloride,19.757,19757.0,67919.57505
2021-01,England,Antidepressants,Agomelatine,0.387,387.0,15853.24716
2021-01,England,Anxiolytics,Promethazine teoclate,0.223,223.0,626.88359
2021-01,England,Anxiolytics,Clobazam,3.736,3736.0,105693.0271
2021-01,England,Anxiolytics,Pregabalin,62.093,62093.0,326522.11796
2021-01,England,Anxiolytics,Clonazepam,11.913,11913.0,157147.16738
2021-01,England,Anxiolytics,Phenobarbital,1.325,1325.0,49380.0614
2021-01,England,Anxiolytics,Phenobarbital sodium,0.002,2.0,1025.78393
2021-01,England,Anxiolytics,Paraldehyde,0.024,24.0,1279.37219
2021-01,England,Anxiolytics,Midazolam maleate,0.157,157.0,27781.75935
2021-01,England,Anxiolytics,Midazolam hydrochloride,0.963,963.0,95108.66302
2021-01,England,Antidepressants,Bupropion hydrochloride,0.646,646.0,27122.20833
2021-01,England,Anxiolytics,Sodium oxybate,0.033,33.0,29445.48027
2021-01,England,Anxiolytics,Melatonin,23.225,23225.0,940595.5646
2021-01,England,Anxiolytics,Chloral hydrate,0.206,206.0,33850.89916
2021-01,England,Anxiolytics,Cloral betaine,0.005,5.0,1410.59101
2021-01,England,Anxiolytics,Clomethiazole edisilate,0.025,25.0,698.3729
2021-01,England,Anxiolytics,Clomethiazole,0.108,108.0,3406.21583
2021-01,England,Anxiolytics,Loprazolam mesilate,0.187,187.0,4696.19771
2021-01,England,Anxiolytics,Lormetazepam,0.152,152.0,3119.79796
2021-01,England,Anxiolytics,Nitrazepam,4.885,4885.0,41910.51109
2021-01,England,Anxiolytics,Temazepam,10.459,10459.0,25995.55841
2021-01,England,Anxiolytics,Zolpidem tartrate,9.039,9039.0,11691.14483
2021-01,England,Anxiolytics,Zopiclone,84.711,84711.0,75356.90418
2021-01,England,Anxiolytics,Buspirone hydrochloride,2.706,2706.0,38664.9333
2021-01,England,Anxiolytics,Chlordiazepoxide hydrochloride,0.673,673.0,4790.21382
2021-01,England,Anxiolytics,Diazepam,74.958,74958.0,194166.06277
2021-01,England,Anxiolytics,Lorazepam,19.968,19968.0,128497.04096
2021-01,England,Anxiolytics,Oxazepam,0.767,767.0,7582.57987
2021-01,England,Anxiolytics,Amobarbital sodium,0.031,31.0,1641.17021
2021-01,England,Anxiolytics,Butobarbital,0.003,3.0,289.39346
2021-01,England,Anxiolytics,Secobarbital sodium,0.004,4.0,687.57616
2021-01,England,Antidepressants,Flupentixol hydrochloride,0.42,420.0,2660.95575
2021-01,England,Antidepressants,Flupentixol decanoate,0.517,517.0,11690.5842
2021-01,England,Antidepressants,Amitriptyline hydrochloride,238.653,238653.0,483571.19213
2021-01,England,Antidepressants,Clomipramine hydrochloride,3.251,3251.0,28696.98626
2021-01,England,Antidepressants,Dosulepin hydrochloride,7.51,7510.0,100237.59804
2021-01,England,Antidepressants,Doxepin,0.306,306.0,52721.13403
2021-01,England,Antidepressants,Imipramine hydrochloride,2.186,2186.0,38375.31248
2021-01,England,Antidepressants,Lofepramine hydrochloride,2.822,2822.0,58380.34832
2021-01,England,Antidepressants,Mianserin hydrochloride,0.002,2.0,109.31352
2021-01,England,Antidepressants,Nortriptyline,10.117,10117.0,46430.80921
2021-01,England,Antidepressants,Trazodone hydrochloride,11.263,11263.0,54959.74621
2021-01,England,Antidepressants,Trimipramine maleate,0.244,244.0,85253.19973
2021-01,England,Antidepressants,Isocarboxazid,0.026,26.0,7276.46358
2021-01,England,Antidepressants,Moclobemide,0.118,118.0,3858.36738
2021-01,England,Antidepressants,Phenelzine sulfate,0.029,29.0,13312.73256
2021-01,England,Antidepressants,Tranylcypromine sulfate,0.058,58.0,50646.2957
2021-01,England,Antidepressants,Citalopram hydrobromide,230.144,230144.0,313561.6519
2021-01,England,Antidepressants,Fluoxetine hydrochloride,113.765,113765.0,367887.53621
2021-01,England,Antidepressants,Fluvoxamine maleate,0.335,335.0,6385.70953
2021-01,England,Antidepressants,Paroxetine hydrochloride,19.934,19934.0,68400.60422
2021-01,England,Antidepressants,Sertraline hydrochloride,306.804,306804.0,2279347.87871
2021-01,England,Antidepressants,Escitalopram,21.813,21813.0,45693.36536
2021-01,England,Antidepressants,Citalopram hydrochloride,1.18,1180.0,17036.67427
2021-01,England,Antidepressants,Vortioxetine,3.688,3688.0,81602.79746
2021-01,England,Antidepressants,Flupentixol hydrochloride,2.508,2508.0,7374.11992
2021-01,England,Antidepressants,Oxitriptan,0.005,5.0,191.27529
2021-01,England,Antidepressants,Tryptophan,0.016,16.0,1105.388
2021-01,England,Antidepressants,Nefazodone hydrochloride,0.001,1.0,1141.51274
2021-01,England,Antidepressants,Reboxetine,0.299,299.0,5042.85011
2021-01,England,Antidepressants,Venlafaxine,77.406,77406.0,512680.5389
2021-01,England,Antidepressants,Mirtazapine,153.167,153167.0,405482.91676
2021-01,England,Antidepressants,Duloxetine hydrochloride,47.45,47450.0,190334.77155
2021-01,England,Antidepressants,Agomelatine,0.232,232.0,10281.13002
2021-01,England,Anxiolytics,Promethazine teoclate,0.459,459.0,1502.83055
2021-01,England,Anxiolytics,Clobazam,5.369,5369.0,185045.62224
2021-01,England,Anxiolytics,Pregabalin,123.807,123807.0,627918.96566
2021-01,England,Anxiolytics,Clonazepam,13.727,13727.0,221766.14909
2021-01,England,Anxiolytics,Phenobarbital,2.811,2811.0,87929.74444
2021-01,England,Anxiolytics,Phenobarbital sodium,0.003,3.0,2102.88181
2021-01,England,Anxiolytics,Clonazepam,0.001,1.0,2.86359
2021-01,England,Anxiolytics,Paraldehyde,0.013,13.0,642.87236
2021-01,England,Anxiolytics,Midazolam maleate,0.237,237.0,49592.81202
2021-01,England,Anxiolytics,Midazolam hydrochloride,1.004,1004.0,99052.33354
2021-01,England,Antidepressants,Bupropion hydrochloride,0.16,160.0,5861.56472
2021-01,England,Anxiolytics,Sodium oxybate,0.007,7.0,7143.06064
2021-01,England,Anxiolytics,Melatonin,17.294,17294.0,695661.14645
2021-01,England,Anxiolytics,Chloral hydrate,0.203,203.0,18152.97211
2021-01,England,Anxiolytics,Cloral betaine,0.009,9.0,1342.45815
2021-01,England,Anxiolytics,Clomethiazole edisilate,0.011,11.0,335.2066
2021-01,England,Anxiolytics,Clomethiazole,0.225,225.0,3789.21873
2021-01,England,Anxiolytics,Loprazolam mesilate,0.242,242.0,5031.31471
2021-01,England,Anxiolytics,Lormetazepam,0.233,233.0,4099.57031
2021-01,England,Anxiolytics,Nitrazepam,5.577,5577.0,40735.99692
2021-01,England,Anxiolytics,Temazepam,13.394,13394.0,31802.32975
2021-01,England,Anxiolytics,Zolpidem tartrate,4.835,4835.0,5908.69042
2021-01,England,Anxiolytics,Zopiclone,52.584,52584.0,42929.67871
2021-01,England,Anxiolytics,Buspirone hydrochloride,2.778,2778.0,31707.82143
2021-01,England,Anxiolytics,Chlordiazepoxide hydrochloride,0.563,563.0,3634.92382
2021-01,England,Anxiolytics,Diazepam,52.211,52211.0,144300.75924
2021-01,England,Anxiolytics,Lorazepam,13.032,13032.0,84392.64576
2021-01,England,Anxiolytics,Oxazepam,0.936,936.0,8875.23014
2021-01,England,Anxiolytics,Amobarbital sodium,0.005,5.0,140.64926
2021-01,England,Anxiolytics,Secobarbital sodium,0.004,4.0,780.26435
2021-01,England,Antidepressants,Flupentixol hydrochloride,0.634,634.0,3064.4911
2021-01,England,Antidepressants,Flupentixol decanoate,0.567,567.0,9136.72082
2021-01,England,Antidepressants,Amitriptyline hydrochloride,255.754,255754.0,474843.67129
2021-01,England,Antidepressants,Clomipramine hydrochloride,3.382,3382.0,25299.5291
2021-01,England,Antidepressants,Dosulepin hydrochloride,6.535,6535.0,73455.91527
2021-01,England,Antidepressants,Doxepin,0.396,396.0,69704.0517
2021-01,England,Antidepressants,Imipramine hydrochloride,1.933,1933.0,28985.39171
2021-01,England,Antidepressants,Lofepramine hydrochloride,3.219,3219.0,55101.64578
2021-01,England,Antidepressants,Mianserin hydrochloride,0.002,2.0,163.75073
2021-01,England,Antidepressants,Nortriptyline,10.048,10048.0,37669.321
2021-01,England,Antidepressants,Trazodone hydrochloride,37.616,37616.0,116670.49147
2021-01,England,Antidepressants,Trimipramine maleate,0.303,303.0,90115.01224
2021-01,England,Antidepressants,Isocarboxazid,0.007,7.0,2064.62843
2021-01,England,Antidepressants,Moclobemide,0.1,100.0,3511.87077
2021-01,England,Antidepressants,Phenelzine sulfate,0.054,54.0,15277.53454
2021-01,England,Antidepressants,Tranylcypromine sulfate,0.044,44.0,40893.61518
2021-01,England,Antidepressants,Citalopram hydrobromide,203.618,203618.0,254867.93596
2021-01,England,Antidepressants,Fluoxetine hydrochloride,138.853,138853.0,363493.22024
2021-01,England,Antidepressants,Fluvoxamine maleate,0.329,329.0,5983.08253
2021-01,England,Antidepressants,Paroxetine hydrochloride,19.517,19517.0,55725.22759
2021-01,England,Antidepressants,Sertraline hydrochloride,318.036,318036.0,2108349.22307
2021-01,England,Antidepressants,Escitalopram,16.676,16676.0,32661.24399
2021-01,England,Antidepressants,Citalopram hydrochloride,0.807,807.0,11748.25294
2021-01,England,Antidepressants,Vortioxetine,2.632,2632.0,42438.48773
2021-01,England,Antidepressants,Flupentixol hydrochloride,2.332,2332.0,5561.36249
2021-01,England,Antidepressants,Tryptophan,0.029,29.0,927.37408
2021-01,England,Antidepressants,Reboxetine,0.462,462.0,6257.67081
2021-01,England,Antidepressants,Venlafaxine,67.737,67737.0,383456.24189
2021-01,England,Antidepressants,Mirtazapine,187.963,187963.0,415050.01349
2021-01,England,Antidepressants,Duloxetine hydrochloride,56.114,56114.0,186357.09869
2021-01,England,Antidepressants,Agomelatine,0.31,310.0,7267.66837
2021-01,England,Anxiolytics,Promethazine teoclate,0.581,581.0,1771.48161
2021-01,England,Anxiolytics,Clobazam,3.901,3901.0,159380.51199
2021-01,England,Anxiolytics,Pregabalin,125.88,125880.0,560295.59554
2021-01,England,Anxiolytics,Clonazepam,13.071,13071.0,182497.98009
2021-01,England,Anxiolytics,Phenobarbital,2.681,2681.0,41961.36308
2021-01,England,Anxiolytics,Clonazepam,0.007,7.0,2353.78102
2021-01,England,Anxiolytics,Paraldehyde,0.018,18.0,717.44093
2021-01,England,Anxiolytics,Midazolam maleate,0.239,239.0,47700.68805
2021-01,England,Anxiolytics,Midazolam hydrochloride,0.912,912.0,86782.1511
2021-01,England,Antidepressants,Bupropion hydrochloride,0.166,166.0,5645.74692
2021-01,England,Anxiolytics,Sodium oxybate,0.003,3.0,2680.59866
2021-01,England,Anxiolytics,Melatonin,13.496,13496.0,462759.18137
2021-01,England,Anxiolytics,Chloral hydrate,0.229,229.0,22311.83542
2021-01,England,Anxiolytics,Cloral betaine,0.005,5.0,2012.54459
2021-01,England,Anxiolytics,Clomethiazole edisilate,0.003,3.0,111.72726
2021-01,England,Anxiolytics,Clomethiazole,0.085,85.0,1810.63829
2021-01,England,Anxiolytics,Loprazolam mesilate,0.204,204.0,4589.11808
2021-01,England,Anxiolytics,Lormetazepam,0.2,200.0,3316.92038
2021-01,England,Anxiolytics,Nitrazepam,6.14,6140.0,59706.89538
2021-01,England,Anxiolytics,Temazepam,8.263,8263.0,19802.54975
2021-01,England,Anxiolytics,Zolpidem tartrate,6.997,6997.0,8576.49942
2021-01,England,Anxiolytics,Zopiclone,60.073,60073.0,48700.42178
2021-01,England,Anxiolytics,Buspirone hydrochloride,5.065,5065.0,62240.49842
2021-01,England,Anxiolytics,Chlordiazepoxide hydrochloride,0.369,369.0,2565.46651
2021-01,England,Anxiolytics,Diazepam,55.53,55530.0,169866.61311
2021-01,England,Anxiolytics,Lorazepam,10.666,10666.0,71126.57294
2021-01,England,Anxiolytics,Oxazepam,0.77,770.0,7110.942
2021-01,England,Anxiolytics,Amobarbital sodium,0.031,31.0,508.87261
2021-01,England,Anxiolytics,Butobarbital,0.001,1.0,263.32172
2021-01,England,Anxiolytics,Secobarbital sodium,0.009,9.0,500.88545
2021-01,England,Antidepressants,Flupentixol hydrochloride,0.41,410.0,2424.58446
2021-01,England,Antidepressants,Flupentixol decanoate,0.522,522.0,10872.79928
2021-01,England,Antidepressants,Amitriptyline hydrochloride,164.474,164474.0,330058.97895
2021-01,England,Antidepressants,Clomipramine hydrochloride,2.931,2931.0,25532.2252
2021-01,England,Antidepressants,Dosulepin hydrochloride,5.731,5731.0,77794.4723
2021-01,England,Antidepressants,Doxepin,0.201,201.0,38256.85721
2021-01,England,Antidepressants,Imipramine hydrochloride,1.13,1130.0,20062.38956
2021-01,England,Antidepressants,Lofepramine hydrochloride,1.407,1407.0,27377.07714
2021-01,England,Antidepressants,Nortriptyline,10.764,10764.0,46911.45979
2021-01,England,Antidepressants,Trazodone hydrochloride,15.078,15078.0,78102.98857
2021-01,England,Antidepressants,Trimipramine maleate,0.172,172.0,61915.06838
2021-01,England,Antidepressants,Isocarboxazid,0.002,2.0,652.02938
2021-01,England,Antidepressants,Moclobemide,0.085,85.0,2996.78044
2021-01,England,Antidepressants,Phenelzine sulfate,0.028,28.0,5323.65523
2021-01,England,Antidepressants,Tranylcypromine sulfate,0.018,18.0,21546.18673
2021-01,England,Antidepressants,Citalopram hydrobromide,159.512,159512.0,209457.7711
2021-01,England,Antidepressants,Fluoxetine hydrochloride,86.767,86767.0,267524.09737
2021-01,England,Antidepressants,Fluvoxamine maleate,0.226,226.0,4360.89692
2021-01,England,Antidepressants,Paroxetine hydrochloride,16.858,16858.0,53452.5437
2021-01,England,Antidepressants,Sertraline hydrochloride,262.88,262880.0,1855973.98593
2021-01,England,Antidepressants,Escitalopram,15.976,15976.0,34310.88396
2021-01,England,Antidepressants,Citalopram hydrochloride,0.772,772.0,11137.69334
2021-01,England,Antidepressants,Vortioxetine,2.516,2516.0,50310.33611
2021-01,England,Antidepressants,Flupentixol hydrochloride,1.446,1446.0,4269.96587
2021-01,England,Antidepressants,Tryptophan,0.007,7.0,805.52775
2021-01,England,Antidepressants,Nefazodone hydrochloride,0.001,1.0,931.69366
2021-01,England,Antidepressants,Reboxetine,0.288,288.0,4491.99809
2021-01,England,Antidepressants,Venlafaxine,68.392,68392.0,436675.81041
2021-01,England,Antidepressants,Mirtazapine,159.89,159890.0,387163.52578
2021-01,England,Antidepressants,Duloxetine hydrochloride,41.482,41482.0,159449.68868
2021-01,England,Antidepressants,Agomelatine,0.109,109.0,3952.57089
2021-01,England,Anxiolytics,Promethazine teoclate,0.171,171.0,576.92511
2021-01,England,Anxiolytics,Clobazam,5.568,5568.0,104784.88518
2021-01,England,Anxiolytics,Pregabalin,112.867,112867.0,529116.22518
2021-01,England,Anxiolytics,Clonazepam,9.179,9179.0,143574.79539
2021-01,England,Anxiolytics,Phenobarbital,1.921,1921.0,61643.14694
2021-01,England,Anxiolytics,Phenobarbital sodium,0.003,3.0,1275.11886
2021-01,England,Anxiolytics,Paraldehyde,0.008,8.0,306.94903
2021-01,England,Anxiolytics,Midazolam maleate,0.145,145.0,24403.6291
2021-01,England,Anxiolytics,Midazolam hydrochloride,0.841,841.0,77049.31991
2021-01,England,Antidepressants,Bupropion hydrochloride,0.133,133.0,4813.81967
2021-01,England,Anxiolytics,Sodium oxybate,0.016,16.0,12249.22495
2021-01,England,Anxiolytics,Melatonin,18.436,18436.0,611430.27919
2021-01,England,Anxiolytics,Chloral hydrate,0.131,131.0,12218.79332
2021-01,England,Anxiolytics,Cloral betaine,0.006,6.0,391.96192
2021-01,England,Anxiolytics,Clomethiazole,0.048,48.0,1325.55738
2021-01,England,Anxiolytics,Loprazolam mesilate,0.182,182.0,4683.67967
2021-01,England,Anxiolytics,Lormetazepam,0.192,192.0,4215.34174
2021-01,England,Anxiolytics,Nitrazepam,3.315,3315.0,26144.57941
2021-01,England,Anxiolytics,Temazepam,9.208,9208.0,23361.40352
2021-01,England,Anxiolytics,Zolpidem tartrate,10.103,10103.0,13754.8407
2021-01,England,Anxiolytics,Zopiclone,66.732,66732.0,64883.13776
2021-01,England,Anxiolytics,Buspirone hydrochloride,2.326,2326.0,33950.16485
2021-01,England,Anxiolytics,Chlordiazepoxide hydrochloride,0.495,495.0,3330.64513
2021-01,England,Anxiolytics,Diazepam,53.776,53776.0,107200.72836
2021-01,England,Anxiolytics,Lorazepam,13.575,13575.0,86599.08915
2021-01,England,Anxiolytics,Oxazepam,1.459,1459.0,12470.02548
2021-01,England,Anxiolytics,Amobarbital sodium,0.007,7.0,1164.3483
2021-01,England,Anxiolytics,Secobarbital sodium,0.004,4.0,681.19836
2021-01,England,Antidepressants,Flupentixol hydrochloride,0.257,257.0,1598.84081
2021-01,England,Antidepressants,Flupentixol decanoate,0.483,483.0,7973.27419
2021-01,England,Antidepressants,Amitriptyline hydrochloride,154.464,154464.0,354330.65479
2021-01,England,Antidepressants,Clomipramine hydrochloride,2.546,2546.0,24547.32731
2021-01,England,Antidepressants,Dosulepin hydrochloride,5.573,5573.0,72784.81964
2021-01,England,Antidepressants,Doxepin,0.191,191.0,46518.80496
2021-01,England,Antidepressants,Imipramine hydrochloride,1.868,1868.0,31189.62188
2021-01,England,Antidepressants,Lofepramine hydrochloride,1.357,1357.0,27793.16778
2021-01,England,Antidepressants,Nortriptyline,9.085,9085.0,44676.35936
2021-01,England,Antidepressants,Trazodone hydrochloride,13.812,13812.0,75252.17969
2021-01,England,Antidepressants,Trimipramine maleate,0.402,402.0,151999.76663
2021-01,England,Antidepressants,Isocarboxazid,0.013,13.0,4916.5083
2021-01,England,Antidepressants,Moclobemide,0.107,107.0,4828.42971
2021-01,England,Antidepressants,Phenelzine sulfate,0.085,85.0,47683.20418
2021-01,England,Antidepressants,Tranylcypromine sulfate,0.137,137.0,98973.77504
2021-01,England,Antidepressants,Citalopram hydrobromide,171.17,171170.0,256642.97296
2021-01,England,Antidepressants,Fluoxetine hydrochloride,78.432,78432.0,295038.5235
2021-01,England,Antidepressants,Fluvoxamine maleate,0.269,269.0,5827.10686
2021-01,England,Antidepressants,Paroxetine hydrochloride,14.15,14150.0,54399.92621
2021-01,England,Antidepressants,Sertraline hydrochloride,224.365,224365.0,1836867.94774
2021-01,England,Antidepressants,Escitalopram,25.463,25463.0,59883.60489
2021-01,England,Antidepressants,Citalopram hydrochloride,1.017,1017.0,15639.01143
2021-01,England,Antidepressants,Vortioxetine,4.243,4243.0,99578.44305
2021-01,England,Antidepressants,Flupentixol hydrochloride,1.292,1292.0,3861.9246
2021-01,England,Antidepressants,Oxitriptan,0.003,3.0,974.01176
2021-01,England,Antidepressants,Tryptophan,0.008,8.0,1004.34122
2021-01,England,Antidepressants,Nefazodone hydrochloride,0.001,1.0,899.56415
2021-01,England,Antidepressants,Reboxetine,0.234,234.0,4565.63919
2021-01,England,Antidepressants,Venlafaxine,60.497,60497.0,459272.70485
2021-01,England,Antidepressants,Mirtazapine,118.277,118277.0,328636.72344
2021-01,England,Antidepressants,Duloxetine hydrochloride,33.803,33803.0,147269.25079
2021-01,England,Antidepressants,Agomelatine,0.553,553.0,21855.67547
2021-01,England,Anxiolytics,Promethazine teoclate,0.298,298.0,1060.16124
2021-01,England,Anxiolytics,Clobazam,4.339,4339.0,120412.12418
2021-01,England,Anxiolytics,Pregabalin,88.682,88682.0,458293.87663
2021-01,England,Anxiolytics,Clonazepam,14.524,14524.0,213203.19187
