date,city,population
2021-04,Exeter,130800
2021-05,Exeter,130833
2021-06,Exeter,130867
2021-07,Exeter,130900
2021-08,Exeter,130933
2021-09,Exeter,130967
2021-10,Exeter,131000
2021-11,Exeter,131033
2021-12,Exeter,131067
2022-01,Exeter,131100
2022-02,Exeter,131133
2022-03,Exeter,131167
2022-04,Exeter,131200
2022-05,Exeter,131233
2022-06,Exeter,131267
2022-07,Exeter,131300
2022-08,Exeter,131333
2022-09,Exeter,131367
2022-10,Exeter,131400
2022-11,Exeter,131433
2022-12,Exeter,131467
2023-01,Exeter,131500
2023-02,Exeter,131533
2023-03,Exeter,131567
2023-04,Exeter,131600
2023-05,Exeter,131633
2023-06,Exeter,131667
2023-07,Exeter,131700
2023-08,Exeter,131733
2023-09,Exeter,131767
2023-10,Exeter,131800
2023-11,Exeter,131833
2023-12,Exeter,131867
2024-01,Exeter,131900
2024-02,Exeter,131933
2024-03,Exeter,131967
2024-04,Exeter,132000
2024-05,Exeter,132033
2024-06,Exeter,132067
2024-07,Exeter,132100
2024-08,Exeter,132133
2024-09,Exeter,132167
2024-10,Exeter,132200
2024-11,Exeter,132233
2024-12,Exeter,132267
2025-12,Exeter,132300
2021-01,Bristol,472500
2021-02,Bristol,473125
2021-03,Bristol,473750
2021-04,Bristol,474375
2021-05,Bristol,475000
2021-06,Bristol,475625
2021-07,Bristol,476250
2021-08,Bristol,476875
2021-09,Bristol,477500
2021-10,Bristol,478125
2021-11,Bristol,478750
2021-12,Bristol,479375
2022-01,Bristol,480000
2022-02,Bristol,480667
2022-03,Bristol,481333
2022-04,Bristol,482000
2022-05,Bristol,482667
2022-06,Bristol,483333
2022-07,Bristol,484000
2022-08,Bristol,484667
2022-09,Bristol,485333
2022-10,Bristol,486000
2022-11,Bristol,486667
2022-12,Bristol,487333
2023-01,Bristol,488000
2023-02,Bristol,488533
2023-03,Bristol,489067
2023-04,Bristol,489600
2023-05,Bristol,490133
2023-06,Bristol,490667
2023-07,Bristol,491200
2023-08,Bristol,491733
2023-09,Bristol,492267
2023-10,Bristol,492800
2023-11,Bristol,493333
2023-12,Bristol,493867
2024-01,Bristol,494400
2024-02,Bristol,495033
2024-03,Bristol,495667
2024-04,Bristol,496300
2024-05,Bristol,496933
2024-06,Bristol,497567
2024-07,Bristol,498200
2024-08,Bristol,498833
2024-09,Bristol,499467
2024-10,Bristol,500100
2024-11,Bristol,500733
2024-12,Bristol,501367
2025-12,Bristol,502000
2021-01,Nottingham,323600
2021-02,Nottingham,323717
2021-03,Nottingham,323833
2021-04,Nottingham,323950
2021-05,Nottingham,324067
2021-06,Nottingham,324183
2021-07,Nottingham,324300
2021-08,Nottingham,324417
2021-09,Nottingham,324533
2021-10,Nottingham,324650
2021-11,Nottingham,324767
2021-12,Nottingham,324883
2022-01,Nottingham,325000
2022-02,Nottingham,325183
2022-03,Nottingham,325367
2022-04,Nottingham,325550
2022-05,Nottingham,325733
2022-06,Nottingham,325917
2022-07,Nottingham,326100
2022-08,Nottingham,326283
2022-09,Nottingham,326467
2022-10,Nottingham,326650
2022-11,Nottingham,326833
2022-12,Nottingham,327017
2023-01,Nottingham,327200
2023-02,Nottingham,327523
2023-03,Nottingham,327846
2023-04,Nottingham,328169
2023-05,Nottingham,328492
2023-06,Nottingham,328815
2023-07,Nottingham,329138
2023-08,Nottingham,329462
2023-09,Nottingham,329785
2023-10,Nottingham,330108
2023-11,Nottingham,330431
2023-12,Nottingham,330754
2024-01,Nottingham,331077
2024-02,Nottingham,331279
2024-03,Nottingham,331481
2024-04,Nottingham,331683
2024-05,Nottingham,331885
2024-06,Nottingham,332087
2024-07,Nottingham,332288
2024-08,Nottingham,332490
2024-09,Nottingham,332692
2024-10,Nottingham,332894
2024-11,Nottingham,333096
2024-12,Nottingham,333298
2025-12,Nottingham,333500
2021-01,Peterborough,215700
2021-02,Peterborough,215892
2021-03,Peterborough,216083
